KEY,ENGLISH,FRENCH,CHINESE,
ID / Event #,ID / Event #,Identifiant / Numéro d'événement,ID/事件#,
Impacted fields,Impacted fields,Champs impactés,受影响的领域,
in_list,In list,Dans la liste,在列表中,
Inception to date,Inception to date,Création à ce jour,成立至今,
Info,Info,Info,信息,
Infrastructure Class,Infrastructure Class,Infrastructure Class,基础设施类,
Internal flag,Internal flag,Flag interne,内部标志,
Invalid fields in formula,Invalid fields in formula,Champs invalides dans la formule,公式中的无效字段,
Invoice,Invoice,Facture,发票,
Invoice #,Invoice #,Facture #,发票 ＃,
Invoice amount (Pre-tax)(Functional currency),Invoice amount (Pre-tax)(Functional currency),Montant de la facture (hors taxes) (devise locale),发票金额（税前）（本位币）,
Invoice amount (Pre-tax)(Invoice currency),Invoice amount (Pre-tax)(Invoice currency),Montant de la facture (avant taxes) (devise de la facture),发票金额（税前）（发票币种）,
Invoice class,Invoice class,Classe de facture,发票类,
Invoice comment,Invoice comment,Commentaire de la facture,发票备注,
Invoice currency,Invoice currency,Devise de facture,发票货币,
Invoice Currency,Invoice Currency,Devise de facture,发票货币,
Invoice date,Invoice date,Date de facture,发票日期,
Invoice number,Invoice number,Numéro de facture,发票号码,
Invoice value - Post tax (functional currency),Invoice value - Post tax (functional currency),Valeur de la facture - Après taxe (devise locale),发票价值 - 税后（功能货币）,
Invoice value - Post tax (invoice currency),Invoice value - Post tax (invoice currency),Valeur de la facture - TVA après (devise de la facture),发票价值 - 税后（发票货币）,
Invoice value - Pre tax (invoice currency),Invoice value - Pre tax (invoice currency),Valeur de la facture - Hors taxes (devise de la facture),发票价值 - 税前（发票货币）,
Invoice value - Pre-tax (functional currency),Invoice value - Pre-tax (functional currency),Valeur de la facture - Avant taxes (devise locale),发票价值 - 税前（功能货币）,
Invoice value - Tax (functional currency),Invoice value - Tax (functional currency),Valeur de la facture - Taxe (devise locale),发票价值 - 税（功能货币）,
Invoice value - Tax (invoice currency),Invoice value - Tax (invoice currency),Valeur de la facture - Taxe (devise de la facture),发票价值 - 税（发票货币）,
Invoiced,Invoiced,Facturé,开具发票,
Invoiced value (functional currency),Invoiced value (functional currency),Valeur facturée (devise locale),发票价值（功能货币）,
Invoiced value (PO currency),Invoiced value (PO currency),Valeur facturée (devise du bon de commande),开票价值（PO 货币）,
Invoices,Invoices,Factures,发票,
ITD,ITD,ITD,国际贸易署,
ITD actual,ITD actual,ITD réel,实际ITD,
ITD actual cost,ITD actual cost,Coût réel ITD,ITD 实际成本,
ITD actual gross revenue,ITD actual gross revenue,Recettes brutes réelles d'ITD,ITD 实际总收入,
ITD actual margin,ITD actual margin,Marge réelle ITD,ITD实际保证金,
ITD billing,ITD billing,Facturation ITD,ITD计费,
ITD cost,ITD cost,Coût ITD,ITD成本,
ITD cost plan,ITD cost plan,Plan de coûts ITD,ITD成本计划,
ITD full burdened labor cost,ITD full burdened labor cost,Coût de la main-d'œuvre intégrale ITD,ITD 全部负担劳动力成本,
ITD hours,ITD hours,Heures ITD,ITD 小时数,
ITD ODC & subs cost,ITD ODC & subs cost,Coûts des autres coûts directs & sous-traitants,ITD ODC 和子成本,
ITD revenue,ITD revenue,Recettes- ITD,ITD收入,
ITD total cost,ITD total cost,Coût total - ITD,总成本,
Key member,Key member,Membre clé,骨干成员,
Key members,Key members,Membres clés,主要成员,
KPI,KPI,KPI,关键绩效指标,
KPIs,KPIs,KPI,关键绩效指标,
Labor,Labor,Main d'œuvre ,劳动,
Language,Language,Langue,语言,
Last EAC date,Last EAC date,Date du dernier EAC,最后 EAC 日期,
Last invoice date,Last invoice date,Date de la dernière facture,最后发票日期,
Last invoiced date,Last invoiced date,Date de la dernière facture facturée,最后开票日期,
Last login id,Last login id,Dernier identifiant de connexion,上次登录 ID,
Last month,Last month,Le mois dernier,上个月,
Last refresh,Last refresh,Dernière actualisation,上次刷新,
Last updated by,Last updated by,Dernière mise à jour par,最后更新者,
Last updated date,Last updated date,Date de la dernière mise à jour,最后更新日期,
Lead verifier,Lead verifier,Vérificateur principal,首席验证员,
Lead verifier email,Lead verifier email,Courriel du vérificateur principal,主要验证者电子邮件,
less_or_equal,Less than or equals,Inférieur ou égal,小于或等于,
less_than,Less than,Moins que,少于,
Level 5 organization,Level 5 organization,Organisation de niveau 5,5级组织,
Location,Location,Emplacement,地点,
Location name,Location name,Nom de la localisation,地点名称,
Location type,Location type,Type de lieu,位置类型,
Login,Login,Connexion,登录,
LOGIN TO,LOGIN TO,SE CONNECTER À,登录到,
Logout,Logout,Se déconnecter,登出,
Loss provision - ITD,Loss provision - ITD,Provision pour pertes - ITD,损失准备金 - ITD,
Margin loss/gain ITD,Margin loss/gain ITD,Perte/gain de marge ITD,保证金损失/收益 ITD,
Margin loss/gain MTD,Margin loss/gain MTD,Perte/gain de marge MTD,保证金损失/收益 MTD,
Margin loss/gain YTD,Margin loss/gain YTD,Perte/gain de marge depuis le début de l'année,年初至今的保证金损失/收益,
Message,Message,Message,信息,
Metric,Metric,Métrique,公制,
Metrics,Metrics,Métriques,指标,
Metrics & KPIs,Metrics & KPIs,Métriques et KPI,指标和 KPI,
Modified,Modified,Modifié,修改的,
Modified formula,Modified formula,Formule modifiée,改良配方,
Modified value,Modified value,Valeur modifiée,修改值,
More,More,Plus,更多的,
morning,morning,matin,早晨,
Most recent payment date,Most recent payment date,Date de paiement le plus récent,最近付款日期,
Most recent receipt number,Most recent receipt number,Numéro de reçu le plus récent,最近收据编号,
MTD,MTD,MTD,最大传输距离,
MTD actual cost,MTD actual cost,Coût réel MTD,MTD实际成本,
MTD actual gross revenue,MTD actual gross revenue,Recettes brutes réelles MTD,MTD实际总收入,
MTD actual margin,MTD actual margin,Marge réelle MTD,MTD实际保证金,
MTD billing,MTD billing,Facturation MTD,MTD计费,
MTD cost plan,MTD cost plan,Plan de coûts MTD,MTD成本计划,
My projects,My projects,Mes projets,我的项目,
Negative ETC,Negative ETC,ETC négatif,负ETC,
Net margin - ITD,Net margin - ITD,Marge nette - ITD,净利润 - ITD,
Net receivables,Net receivables,Créances nettes,净应收账款,
Net unbilled,Net unbilled,Non facturé net,净未开票,
New portfolio,New portfolio,Nouveau portefeuille,新投资组合,
New view,New view,Aperçu nouveau,新观点,
Next approver,Next approver,Approbateur suivant,下一个审批人,
Next EAC date,Next EAC date,Prochaine date EAC,下一个 EAC 日期,
NM - ITD,NM - ITD,NM - ITD,纳米 - ITD,
NM - MTD,NM - MTD,NM - MTD,纳米-MTD,
NM - YTD,NM - YTD,NM - YTD,纳米 - 年初至今,
NM % of NSR - ITD,NM % of NSR - ITD,NM % de NSR - ITD,NM % NSR - ITD,
NM % of NSR - MTD,NM % of NSR - MTD,NM % de NSR - MTD,NM % NSR - MTD,
NM % of NSR - YTD,NM % of NSR - YTD,NM % de NSR - YTD,NM % NSR - YTD,
NM-YTD,NM-YTD,NM-YTD,新墨西哥-年初至今,
No,No,Non,不,
Non-Labor,Non-Labor,Pas de main d'ouevre,非劳动,
not_equal,Not equal,Pas égal,不等于,
not_in_list,Not in list,Pas dans la liste,不在列表中,
NSR - ITD,NSR - ITD,NSR - ITD,NSR-ITD,
NSR - MTD,NSR - MTD,NSR - MTD,NSR-MTD,
NSR - YTD,NSR - YTD,NSR - YTD,NSR - 年初至今,
NSR-YTD,NSR-YTD,NSR-YTD,NSR-YTD,
Object,Object,Objet,目的,
Object version number,Object version number,Numéro de la version de l'objet,对象版本号,
ODC,ODC,ODC,ODC,
ODC - ITD,ODC - ITD,ODC - ITD,ODC-ITD,
ODC - MTD,ODC - MTD,ODC - MTD,ODC-MTD,
ODC - YTD,ODC - YTD,ODC - YTD,ODC - 年初至今,
ODC-YTD,ODC-YTD,ODC-YTD,ODC-YTD,
Operating group,Operating group,Groupe d'exploitation,运营组,
Operating unit,Operating unit,Unité d'exploitation,经营单位,
Oracle operating unit,Oracle operating unit,Unité d'exploitation Oracle,甲骨文运营单位,
Org name,Org name,Nom de l'organisation,组织名称,
Organization,Organization,Organisation,组织,
Organization (level 5),Organization (level 5),Organisation (niveau 5),组织（第 5 级）,
Organization id,Organization id,ID de l'organisation,组织编号,
organization_name,Organization,Organisation,组织,
Original,Original,Original,原来的,
Original cost budget,Original cost budget,Budget initial des coûts,原成本预算,
Original hours budget,Original hours budget,Budget initial des heures ,原始工时预算,
Original net margin,Original net margin,Marge nette d'origine,原始净利润,
Original revenue budget,Original revenue budget,Budget initial du revenu,原始收入预算,
Original transaction cost amount,Original transaction cost amount,Montant du coût initial de la transaction,原始交易成本金额,
Original transaction currency,Original transaction currency,Devise d'origine de la transaction,原始交易币种,
Out of sequence,Out of sequence,En dehors de la séquence,乱序,
Outstanding workflows,Outstanding workflows,Flux de travail en attente,出色的工作流程,
Overhead,Overhead,Frais généraux,高架,
Overhead - ITD,Overhead - ITD,Frais généraux - ITD,开销 - ITD,
Overhead - MTD,Overhead - MTD,Frais généraux - MTD,开销 - MTD,
Overhead - YTD,Overhead - YTD,Frais généraux - YTD,开销 - 年初至今,
Overhead % of direct labor - ITD,Overhead % of direct labor - ITD,Frais généraux % de la main-d'œuvre directe - ITD,直接人工的间接费用百分比 - ITD,
Overhead % of direct labor - MTD,Overhead % of direct labor - MTD,Frais généraux % de la main-d'œuvre directe - MTD,直接人工的间接费用百分比 - MTD,
Overhead % of direct labor - YTD,Overhead % of direct labor - YTD,Frais généraux % de la main-d'œuvre directe - YTD,直接人工的间接费用百分比 - 年初至今,
Owning organization,Owning organization,Organisation propriétaire,拥有组织,
PA date,PA date,Date PA,PA日期,
Parameters,Parameters,Paramètres,参数,
Password,Password,Mot de passe,密码,
Payload name,Payload name,Nom du Payload ,负载名称,
Payment date,Payment date,Date de paiement,付款日期,
Payment received,Payment received,Paiement reçu,已收到付款,
Payment status,Payment status,Statut de paiement,支付状态,
Pending payment,Pending payment,En attente de paiement,待付款,
Performance Obligation Status,Performance Obligation Status,Statut de l'obligation de performance,履约义务状况,
Period,Period,Période,时期,
Period display name,Period display name,Nom d'affichage de la période,期间显示名称,
Period id,Period id,Identifiant de la période,期号,
Period name,Period name,Nom de la période,期间名称,
Period status id,Period status id,ID d'état de la période,期间状态编号,
Period type,Period type,Type de période,期间类型,
Period type name,Period type name,Nom du type de période,期间类型名称,
period_name,Period type,Type de période,期间类型,
Person id,Person id,Identifiant de la personne,人员编号,
Physical % complete,Physical % complete,Physical % achevé,物理完成百分比,
Planned value (phased ACB),Planned value (phased ACB),Valeur planifiée (ACB échelonné),计划值（阶段性 ACB）,
PO #,PO #,No de bon de commande,采购订单#,
PO currency,PO currency,Devise du bon de commande,PO币种,
PO line #,PO line #,Numéro de ligne de commande,订单行#,
PO number,PO number,Numéro de bon de commande,订单号,
PO value (functional currency),PO value (functional currency),Valeur du bon de commande (devise Locale),PO 价值（功能货币）,
PO value (PO currency),PO value (PO currency),Valeur du bon de commande (devise du bon de commande),PO 值（PO 货币）,
Portfolio,Portfolio,Portefeuille,文件夹,
Portfolio dashboard,Portfolio dashboard,Tableau de bord du portefeuille,投资组合仪表板,
Portfolio name,Portfolio name,Nom du portefeuille,投资组合名称,
PO's pending approval,PO's pending approval,PO en attente d'approbation,采购订单待批准,
Powered by,Powered by,Alimenté par,供电,
Preferences,Preferences,Préférences,优先,
Previous period,Previous period,Période précédente,上期,
Prior period forecast,Prior period forecast,Prévision de la période précédente,前期预测,
Prior period MTD,Prior period MTD,Période précédente MTD,前期MTD,
Prior periods,Prior periods,Périodes antérieures,前期,
Prior week hours,Prior week hours,Heures de la semaine précédente,前一周时间,
Prior weeks,Prior weeks,Semaines précédentes,前几周,
Proceed,Proceed,Procéder,继续,
Process log id,Process log id,ID du journal de processus,进程日志标识,
Process name,Process name,Nom du processus,进程名称,
Profile,Profile,Profil,轮廓,
Progress,Progress,Progrès,进步,
Project,Project,Projet,项目,
Project Accountant,Project Accountant,Comptable du projet,项目会计,
Project accountant,Project accountant,Comptable du projet,项目会计,
Project accountant alternate,Project accountant alternate,Comptable alternatif du projet,项目会计候补,
Project accountant alternate email,Project accountant alternate email,Courriel du comptable alternatif du projet,项目会计备用电子邮件,
Project accountant email,Project accountant email,Courriel du comptable du projet,项目会计邮箱,
Project administrator,Project administrator,Administrateur de projet,项目管理员,
Project administrator email,Project administrator email,Courriel de l'administrateur du projet,项目管理员邮箱,
Project Approver,Project Approver,Approbateur de projet,项目审批人,
Project approver,Project approver,Approbateur de projet,项目审批人,
Project approver 2,Project approver 2,Approbateur de projet 2,项目审批人2,
Project approver 2 email,Project approver 2 email,Courrielde l'approbateur de projet 2,项目审批人 2 邮箱,
Project approver email,Project approver email,Courriel de l'approbateur du projet,项目审批人邮箱,
Project bill amount,Project bill amount,Montant facturé du projet,项目账单金额,
Project Biller,Project Biller,Agent de facturation de projet,项目记帐员,
Project biller,Project biller,Agent de facturation de projet,项目开票人,
Project biller email,Project biller email,Courriel de l'émetteur du projet,项目开票人电子邮件,
Project burdened cost,Project burdened cost,Coût complet du projet,项目负担成本,
Project closure date,Project closure date,Date de clôture du projet,项目结束日期,
Project controls,Project controls,Contrôleur de projet,项目控制,
Project controls email,Project controls email,Courriel du contrôleur de projet,项目控制电子邮件,
Project Country,Project Country,Pays du projet,项目国家,
Project creation date,Project creation date,Date de création du projet,项目创建日期,
Project currency,Project currency,Devise du projet,项目货币,
Project director,Project director,Directeur de projet,项目总监,
Project director 2,Project director 2,Directeur de projet 2,项目总监2,
Project DSO,Project DSO,DSO du projet,项目 DSO,
Project end date - Approved,Project end date - Approved,Date de fin du projet - Approuvé,项目结束日期 - 已批准,
Project end date - Forecast,Project end date - Forecast,Date de fin du projet - Prévisionnelle,项目结束日期 - 预测,
Project fields,Project fields,Champs de projet,项目领域,
Project flags,Project flags,Flags du projet,项目标志,
Project functional cost amount,Project functional cost amount,Montant du coût local du projet,项目功能成本金额,
Project functional currency,Project functional currency,Devise locale du projet,项目功能货币,
Project id,Project id,Identifiant du projet,项目编号,
Project Id,Project Id,Identifiant du projet,项目编号,
Project info,Project info,Informations sur le projet,项目信息,
Project long name,Project long name,Nom long du projet,项目长名,
Project manager,Project manager,Chef de projet,专案经理,
Project Manager,Project Manager,Chef de projet,专案经理,
Project manager ,Project manager ,Chef de projet,专案经理,
Project manager assistant,Project manager assistant,Assistant gestionnaire de projet,项目经理助理,
Project manager assistant email,Project manager assistant email,Courriel de l'assistant gestionnaire de projet,项目经理助理邮箱,
Project manager email,Project manager email,Courriel du chef de projet,项目经理邮箱,
Project name,Project name,Nom du projet,项目名,
Project Name,Project Name,Nom du projet,项目名,
Project number,Project number,Numéro de projet,项目编号,
Project Number,Project Number,Numéro de projet,项目编号,
Project organization,Project organization,Organisation du projet,项目组织,
Project owning org,Project owning org,Organisation propriétaire du projet,项目拥有组织,
Project owning organization,Project owning organization,Organisation propriétaire du projet,项目拥有组织,
Project performance obligation status,Project performance obligation status,Statut de l'obligation de performance du projet,项目履约义务状况,
Project revenue amount,Project revenue amount,Montant des recettes du projet,项目收入金额,
Project review category,Project review category,Catégorie d'evaluation du projet,项目评审类,
Project start date - Approved,Project start date - Approved,Date de début du projet - Approuvé,项目开始日期 - 已批准,
Project start date - Forecast,Project start date - Forecast,Date de début du projet - Prévisionnelle,项目开始日期 - 预测,
Project status,Project status,Statut du projet,项目状态,
Project status name,Project status name,Nom du Statut du projet,项目状态名称,
Project type,Project type,Type de projet,项目类型,
Project#,Project#,Projet#,项目＃,
Project/Resources,Project/Resources,Projet/Ressources,项目/资源,
Projected bill amount,Projected bill amount,Montant prévisionnel à facturer,预计账单金额,
Projected EAC,Projected EAC,EAC projeté,预计EAC,
Projected ETC,Projected ETC,ETC projeté,预计ETC,
Project-Invoice,Project-Invoice,Projet-Facture,工程发票,
Projects,Projects,Projets,项目,
Purchase order,Purchase order,Bon de commande,采购订单,
Quantity,Quantity,Quantité,数量,
Quarter,Quarter,Trimestre,四分之一,
Quarter end date,Quarter end date,Date de fin de trimestre,季度结束日期,
Quarter start date,Quarter start date,Date de début du trimestre,季度开始日期,
RAR funding,RAR funding,Financement RAR,RAR资金,
Rate,Rate,Taux,速度,
Rate date from,Rate date from,Tarif à partir de,费率日期从,
Rate date to,Rate date to,Date de taux au,评级日期至,
Rate type,Rate type,Type de taux,费率类型,
Raw Labor,Raw Labor,Main d'ouevre brute,原始劳动力,
Rebuild snapshot,Rebuild snapshot,Rebâtir Snapshot,重建快照,
Recent,Recent,Récent,最近的,
Recent and favorite projects,Recent and favorite projects,Projets récents et favoris,最近和最喜欢的项目,
Remaining,Remaining,Restant,其余的,
Remaining balance (functional currency),Remaining balance (functional currency),Solde restant (devise locale),余额（功能货币）,
Remaining balance (PO currency),Remaining balance (PO currency),Solde restant (devise du bon de commande),余额（PO币种）,
Report,Report,Rapport,报告,
Reporting Attribute,Reporting Attribute {{index}},Attribut de rapport {{index}},报告属性 {{index}},
res_name,Resource category,Catégorie de ressources,资源类别,
Resource,Resource,Ressource,资源,
Resource category,Resource category,Catégorie de ressources,资源类别,
Resource name,Resource name,Nom de la ressource,资源名称,
Resource type,Resource type,Type de ressource,资源类型,
Resources by hours by week,Resources by hours by week,Ressources par heures par semaine,每周按小时分类的资源,
Resources by hours by week.,Resources by hours by week.,Ressources par heures par semaine.,每周按小时提供资源。,
Restore,Restore,Restaurer,恢复,
Retention,Retention,Rétention,保留,
Retention reserves,Retention reserves,Réserves de rétention,保留储备,
Retry,Retry,Retenter,重试,
Retry date,Retry date,Date de nouvelle tentative,重试日期,
Revenue amount,Revenue amount,Montant des recettes,收入金额,
Revenue at risk (RAR),Revenue at risk (RAR),Revenus à risque (RAR),风险收入 (RAR),
Revenue at risk (RAR) amount,Revenue at risk (RAR) amount,Montant des revenus à risque (RAR),风险收入 (RAR) 金额,
Revenue opportunity,Revenue opportunity,Opportunité de revenus,收入机会,
Revenue over contract,Revenue over contract,Chiffre d'affaires sur contrat,合同收入,
Revenue transaction detail,Revenue transaction detail,Détail de la transaction de revenus,收入交易明细,
Revenue transaction detail.,Revenue transaction detail.,Détail de la transaction de revenus.,收入交易明细。,
Review category,Review category,Catégorie de révision ,评论类别,
Role assignment id,Role assignment id,ID d'attribution de rôle,角色分配 ID,
Role id,Role id,ID de rôle,角色编号,
Role name,Role name,Nom de rôle,角色名称,
Row type,Row type,Type de ligne,行类型,
RUPO Days,RUPO Days,Jours RUPO,RUPO 日,
Salary cost multiplier - ITD,Salary cost multiplier - ITD,Multiplicateur de coût salarial - ITD,工资成本乘数 - ITD,
Salary cost multiplier - MTD,Salary cost multiplier - MTD,Multiplicateur de coût salarial - MTD,工资成本乘数 - MTD,
Salary cost multiplier - YTD,Salary cost multiplier - YTD,Multiplicateur du coût salarial - YTD,工资成本乘数 - YTD,
Save portfolio,Save portfolio,Enregistrez le portefeuille,保存投资组合,
Save settings,Save settings,Enregistrez les paramètres,保存设置,
Save view,Save view,Enregistrez l'aperçu,保存视图,
Schedule variance,Schedule variance,Écart de calendrier,进度差异,
Schedule variance (SV),Schedule variance (SV),Écart de calendrier (SV),进度差异 (SV),
Scheduled end date,Scheduled end date,Date de fin prévue,预定结束日期,
Scheduled Start date,Scheduled Start date,Date de début prévue,预定开始日期,
Search,Search,Recherche,搜索,
Seeded portfolio,Seeded portfolio,Portefeuille prédefini,种子投资组合,
Seeded view,Seeded view,Aperçu prédéfini,种子视图,
Select,Select,Sélectionner,选择,
select,select,sélectionner,选择,
Select criteria,Select criteria,Sélectionnez les critères,选择标准,
Select operator,Select operator,Sélectionnez l'opérateur,选择运营商,
Select period,Select period,Sélectionnez la période,选择期间,
Select portfolio,Select portfolio,Sélectionnez le portefeuille,选择投资组合,
Select process,Select Process,Sélectionnez le processus,选择流程,
Select report,Select report,Sélectionnez le rapport,选择报告,
Select resource category,Select resource category,Sélectionnez la catégorie de ressource,选择资源类别,
Select view,Select view,Sélectionnez l'aperçu,选择视图,
Service type,Service type,Type de service,服务类型,
Set as default,Set as default,Définir par défaut,设为默认,
Settings,Settings,Paramètres,设置,
Show dependencies,Show dependencies,Afficher les dépendances,显示依赖关系,
Show in,Show in,Afficher dans,显示,
Source fields,Source fields,Champs sources,源字段,
SPI,SPI,SPI,接口接口,
Standard,Standard,Standard,标准,
Stared on,Stared on,Stared on,盯着,
Start date,Start date,Date de début,开始日期,
start_date,Start date,Date de début,开始日期,
start_with,Starts with,Commence avec,以。。开始,
State name, State name,Nom d'état,国家名称,
Status,Status,Statut,地位,
Strategic business unit,Strategic business unit,Unité d'affaires stratégique,战略事业部,
Sub area,Sub area,Sub area,分区,
Sub business line,Sub business line,Sous-secteur d’activité,子业务线,
Sub-area,Sub-area,Sub area,分区,
Sub-business line,Sub-business line,Sous-secteur d'activité,子业务线,
Subject,Subject,Sujet,主题,
Submit,Submit,Envoi,提交,
Submit Process,Submit Process,Processus d'envoi,提交流程,
Submitted by,Submitted by,Envoyé par,由...所提交,
Submitted date,Submitted date,Date d'envoi,提交日期,
Subs,Subs,Sous-traitants,潜艇,
Subs - ITD,Subs - ITD,Subs - ITD,潜艇 - ITD,
Subs - MTD,Subs - MTD,Subs - MTD,潜艇-MTD,
Subs - YTD,Subs - YTD,Subs - YTD,潜艇 - 年初至今,
Subs-YTD,Subs-YTD,Subs - YTD,子-YTD,
Summary,Summary,Sommaire,概括,
Supplier,Supplier,Fournisseur,供应商,
Supplier contacts,Supplier contacts,Coordonnées des fournisseurs,供应商联系方式,
Supplier invoice #,Supplier invoice #,Facture# fournisseur ,供应商发票#,
Supplier line #,Supplier line #,No de ligne du fournisseur,供应商行#,
Supplier location,Supplier location,Adresse du fournisseur,供应商位置,
Supplier name,Supplier name,Nom du fournisseur,供应商名称,
Supplier number,Supplier number,Numéro de fournisseur,供应商编号,
supplier_name,Supplier,Fournisseur,供应商,
Table,Table,Tableau,桌子,
Task #,Task #,Tâche #,任务 ＃,
Task / Employee,Task / Employee,Tâche / Employé,任务/员工,
Task name,Task name,Nom de la tâche,任务名称,
Task number,Task number,Numéro de tâche,任务编号,
Task summary,Task summary,Sommaire de la tâche,任务总结,
Task summary.,Task summary.,Sommaire de la tâche,任务总结。,
Task/Resource,Task/Resource,Tâche/Ressource,任务/资源,
task_name,Task,Tâche,任务,
Tax amount (Functional currency),Tax amount (Functional currency),Montant de la taxe (devise locale),税额（本位币）,
Tax amount (Invoice currency),Tax amount (Invoice currency),Montant de la taxe (devise locale),税额（发票货币）,
TCPI,TCPI,TCPI,TCPI,
Timeout approver,Timeout approver,Approbateur du délai d'attente,超时审批人,
To currency,To currency,Vers la devise,到货币,
To date,To date,À ce jour,迄今为止,
total,Total,Total,全部的,
Total approved budget (ACB),Total approved budget (ACB),Budget total approuvé (ACB),核定预算总额（ACB）,
Total billed + Draft + Unbilled transactions,Total billed + Draft + Unbilled transactions,Total facturé + Provisoire + Transactions non facturées,计费总额 + 草稿 + 未开票交易,
Total costs - ITD,Total costs - ITD,Coûts totaux - ITD,总成本 - ITD,
Total Costs - ITD,Total Costs - ITD,Coûts totaux - ITD,总成本 - ITD,
Total costs - MTD,Total costs - MTD,Coûts totaux - MTD,总成本 - MTD,
Total costs - YTD,Total costs - YTD,Coûts totaux - YTD,总成本 - 年初至今,
Total hours,Total hours,Heures totales,全部小时数,
Total invoice amount (Functional currency),Total invoice amount (Functional currency),Montant total de la facture (devise locale),总发票金额（本位币）,
Total invoice amount (Invoice currency),Total invoice amount (Invoice currency),Montant total de la facture (devise de la facture),总发票金额（发票币种）,
Total invoice value,Total invoice value,Valeur totale de la facture,发票总值,
Total labor cost,Total labor cost,Coût total de la main-d'œuvre,总人工成本,
Total PO value,Total PO value,Valeur totale du bon de commande,采购订单总值,
Total raw labor cost,Total raw labor cost,Coût total de la main-d'œuvre brute,总劳动力成本,
Total unbilled,Total unbilled,Total non facturé,未开票总额,
Transaction end date,Transaction end date,Date de fin de transaction,交易结束日期,
Transaction start date,Transaction start date,Date de début de transaction,交易开始日期,
Transaction status,Transaction status,Statut de la transaction,交易状态,
Trend values,Trend values,Evolution des valeurs,趋势值,
Type,Type,Type,类型,
Unbilled,Unbilled,Non facturé,未开票,
Unbilled AR,Unbilled AR,AR non facturé,未开票应收账款,
Unbilled AR >180,Unbilled AR >180,AR non facturé > 180,未开票 AR >180,
Unbilled AR >180 days,Unbilled AR >180 days,AR non facturé > 180 jours,未开票 AR >180 天,
Unbilled AR >60,Unbilled AR >60,AR non facturé > 60,未开票 AR >60,
Unbilled AR 0-30,Unbilled AR 0-30,AR Non facturé  0-30,未开票应收账款 0-30,
Unbilled AR 31-60,Unbilled AR 31-60,AR Non facturé  31-60,未开票 AR 31-60,
Unbilled AR 31-60 days,Unbilled AR 31-60 days,AR Non facturé 31-60 jours,未开票 AR 31-60 天,
Unbilled AR 61-90,Unbilled AR 61-90,AR Non facturé  61-90,未开票 AR 61-90,
Unbilled AR 61-90 days,Unbilled AR 61-90 days,AR non facturé 61-90 jours,未开票 AR 61-90 天,
Unbilled AR 91-180,Unbilled AR 91-180,AR Non facturé  91-180,未开票 AR 91-180,
Unbilled AR 91-180 days,Unbilled AR 91-180 days,AR non facturé 91-180 jours,未开票 AR 91-180 天,
Unbilled AR current,Unbilled AR current,AR à ce jour non facturé,未计费的 AR 当前,
Unbilled balance,Unbilled balance,Solde non facturé,未入账余额,
Unbilled hours,Unbilled hours,Heures non facturées,未计费时间,
Unbilled transactions,Unbilled transactions,Transactions non facturées,未开票交易,
UOM,UOM,UOM,计量单位,
User id,User id,ID de l'utilisateur,用户身份,
User name,User name,Nom d'utilisateur,用户名,
User Role assignments,User Role assignments,Affectations du rôles d'utilisateur,用户角色分配,
Value,Value,Valeur,价值,
Variance at completion,Variance at completion,Écart à l'achèvement,完成时的差异,
Variance completion (VAC),Variance completion (VAC),Variance completion (VAC),差异完成（VAC）,
View,View,Aperçu,看法,
View name,View name,Afficher le nom,查看名称,
View portfolio,View portfolio,Aperçu du portefeuille,查看投资组合,
Week,Week {{index}},Semaine {{index}},周 {{index}},
Widget name,Widget name,Nom du widget,小部件名称,
Widget settings,Widget settings,Paramètres des widgets,小部件设置,
year,year,année,年,
Year end date,Year end date,Date de fin d'année,年结日,
Year start date,Year start date,Date de début d'année,年开始日期,
Year to date,'Year to date,'Année à ce jour,'今年迄今为止,
Yes,Yes,Oui,是的,
YTD,YTD,YTD,年初至今,
Zip,Zip,Zip,压缩,
